name,fsq_id,categories,distance,address,latitude,longitude
Kingyo Izakaya 金魚居酒屋,4aa7455df964a5208e4c20e3,"Sushi Restaurant, Tapas Restaurant",306,"871 Denman St (btwn Haro & Barclay), Vancouver BC V6G 2L9",49.290643,-123.136956
Kim's Mart,4cb12e67c5e6a1cdbbf3dbf6,Import and Export Service,51,"511E Broadway E, Vancouver BC V5T 1X4",49.262642,-123.092549
East Vancouver Brewing Co,59f2476c65cdf8641b5f85f7,Brewery,116,"1675 Venables St, Vancouver BC V5L 2H1",49.276863,-123.071283
A-maze-ing Laughter,4c1823da834e2d7f0a812880,Sculpture Garden,65,"1800 Morton Ave (at Denman), Vancouver BC",49.287891,-123.142143
Beta5 Chocolates,4e8df4ccbe7bc43c1895944d,"Chocolate Store, Grocery Store",487,"413 Industrial Ave (at Station St), Vancouver BC V6A 2P8",49.269893,-123.095842
Williams-Sonoma,4ab3cbe1f964a520856e20e3,Furniture and Home Store,492,"2903 Granville St (at West 13th), Vancouver BC V6H 3J6",49.259655,-123.138928
Caffe Cittadella,4c75baefdb52b1f7c5b979dc,"Coffee Shop, Restaurant",189,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",49.26473,-123.116978
Olive and Ruby Cafe,580a933738faca6bcaf1eba1,"Café, Coffee Shop, Restaurant",116,"2839 Broadway W, Vancouver BC V6K 2G6",49.26427,-123.169326
Vancouver Winter Farmers Market,4cd59ef8b2a4370427607f44,"Farmers Market, Grocery Store",65,"4601 Ontario St (at E 30th Ave), Vancouver BC V5V 3H4",49.243155,-123.105815
Parallel 49 Brewing Co,4f1b5861e4b08382320d3f2e,"Brewery, Restaurant",203,"1950 Triumph St (btwn Victoria & Semlin), Vancouver BC V5L 1K5",49.283798,-123.064405
Indian Roti Kitchen,52ae4f3c11d227ba4f4b055a,Indian Restaurant,75,"2961 Cambie St, Vancouver BC V5Z 2V7",49.258983,-123.115272
Starbucks,5f344ea22eb73d3c90b2af98,Coffee Shop,185,"2101 Lahb Ave (at Arbutus Street), Vancouver BC V6L 0B9",49.249141,-123.155056
Les Faux Bourgeois,4aa7d40ff964a5206e4d20e3,French Restaurant,73,"663 15th Ave E (at Fraser & Kingsway), Vancouver BC V5T 2R6",49.257306,-123.089824
Trout Lake Farmers Market,4aabf09af964a5200f5b20e3,Farmers Market,315,"3350 Victoria Dr (at John Hendry Park), Vancouver BC V5N 4M4",49.258299,-123.061761
Lululemon Athletica,4b7327faf964a520c79e2de3,"Clothing Store, Men's Store, Women's Store",56,"1148 Robson St (At Burrard St), Vancouver BC V6E 1B2",49.283016,-123.122756
Saku,5b2bfe834f0e58002c8c4344,Japanese Restaurant,26,"1773 Robson St, Vancouver BC V6G 1C9",49.291333,-123.134825
Beta5 Chocolates,4e8df4ccbe7bc43c1895944d,"Chocolate Store, Grocery Store",195,"413 Industrial Ave (at Station St), Vancouver BC V6A 2P8",49.269893,-123.095842
Kim's Mart,4cb12e67c5e6a1cdbbf3dbf6,Import and Export Service,259,"511E Broadway E, Vancouver BC V5T 1X4",49.262642,-123.092549
Pure Bread,5b7882e95455b2002c6abf1c,"Bakery, Restaurant",21,"5 5th Ave E (Ontario Street), Vancouver BC V5T 1G7",49.266631,-123.104568
Corduroy Pie Co,54c074fa498e4624306b462e,Pizzeria,80,"758 16th Ave W (Willow), Vancouver BC V5Z 1S7",49.256904,-123.121177
The Orpheum,4ac17919f964a520479720e3,Music Venue,120,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",49.280081,-123.120416
Fanny Bay Oyster Bar & Shellfish Market,5790281f498e75e0454bf0a9,Seafood Restaurant,87,"762 Cambie St, Vancouver BC V6B 2P2",49.278557,-123.114183
Birds & the Beets,553ac7e1498e04e927f8762d,"Café, Coffee Shop, Diner",66,"55 Powell St, Vancouver BC V6A 1E9",49.283383,-123.10283
The Fish Counter,52a4f3dc11d200e736bc581f,"Fish and Chips Shop, Seafood Restaurant, Meat and Seafood Store",21,"3825 Main St (btwn E 22nd & 23rd), Vancouver BC V5V 3P1",49.250765,-123.101191
Creekside Park,4b7c2ccaf964a5201a822fe3,"Restaurant, Park",325,"1455 Quebec St (at Science World), Vancouver BC V6A 3Z7",49.274585,-123.102893
Grandview Park,4ab533e0f964a520397320e3,Park,206,"1657 Charles St (btwn Commercial & Cotton), Vancouver BC V5L 2T4",49.273546,-123.070434
CRAFT Beer Market Vancouver,508c2d32e4b032d8be856a72,"Beer Garden, Brewery, Gastropub",40,"85 1st Ave W (btwn Manitoba & Salt), Vancouver BC V5Y 0C4",49.270591,-123.106447
Kim's Mart,4cb12e67c5e6a1cdbbf3dbf6,Import and Export Service,571,"511E Broadway E, Vancouver BC V5T 1X4",49.262642,-123.092549
Parallel 49 Brewing Co,4f1b5861e4b08382320d3f2e,"Brewery, Restaurant",65,"1950 Triumph St (btwn Victoria & Semlin), Vancouver BC V5L 1K5",49.283798,-123.064405
Anh and Chi,57096a03cd10b7535b1d59a5,"Bar, Vietnamese Restaurant",52,"3388 Main St, Vancouver BC V5V 3M7",49.255019,-123.100904
Les Faux Bourgeois,4aa7d40ff964a5206e4d20e3,French Restaurant,555,"663 15th Ave E (at Fraser & Kingsway), Vancouver BC V5T 2R6",49.257306,-123.089824
Nero Belgian Waffle Bar,57e351fe498ea398546051b6,"Dessert Shop, Restaurant",99,"1002 Seymour St (Seymour and Nelson), Vancouver BC V6B 3M6",49.278311,-123.122111
Connaught Park,4ab01a02f964a520e66520e3,Park,259,"2690 Larch St (btwn 10th Ave & 12th Ave), Vancouver BC V6K 4K9",49.26226,-123.156099
Banana Leaf,4aa75933f964a520bf4c20e3,Malay Restaurant,55,"1096 Denman St (btwn Comox & Pendrell St.), Vancouver BC V6G 2M8",49.288276,-123.139917
Biltmore Cabaret,4aa83992f964a520345020e3,Music Venue,222,"2755 Prince Edward St (at E 12th Ave), Vancouver BC V5T 0A9",49.260352,-123.096491
The Mackenzie Room,55c40e66498e739ed2c87adf,Restaurant,288,"415 Powell St (Powell Street), Vancouver BC V6A 1G7",49.283272,-123.095032
Stanley Park English Bay Seawall,4ba69381f964a520ad5f39e3,Hiking Trail,201,"Beach Ave (at Park Ln), Vancouver BC",49.290133,-123.146728
Steamworks Brewing Co,4aa6bc27f964a520df4a20e3,"Bar, Restaurant",44,"375 Water St (at Richards St), Vancouver BC V6B 5C6",49.284949,-123.110915
Starbucks,4aa7c455f964a520274d20e3,Coffee Shop,65,"6190 Agronomy Rd (East Mall), Vancouver BC V6T 1Z3",49.261354,-123.246492
Beaty Biodiversity Museum,4c7bf79ddbaa76b0fe232d4b,Science Museum,364,"2212 Main Mall, Vancouver BC V6T 1Z4",49.263274,-123.251116
Connaught Park,4ab01a02f964a520e66520e3,Park,152,"2690 Larch St (btwn 10th Ave & 12th Ave), Vancouver BC V6K 4K9",49.26226,-123.156099
Gorilla Surplus,4ad645d1f964a520420621e3,Military,109,"1458 Broadway E, Vancouver BC V5N 1V6",49.262154,-123.074337
Mt. Pleasant Park,4e700331d1649bf26fdfe4eb,"Park, Sports and Recreation",49,"32 16th Ave W, Vancouver BC V5Y 1Y6",49.256478,-123.105651
Small Victory,5ba59a6bfebf31002cb54fa0,"Bakery, Dessert Shop, Restaurant",529,"3070 Granville St, Vancouver BC V6H 3J8",49.258291,-123.138568
Museum of Vancouver,4aa850aff964a520ce5020e3,Museum,107,"1100 Chestnut St, Vancouver BC V6J 3J9",49.276369,-123.144907
Banyen Books & Sound,4be739cacf200f47c471153c,Bookstore,200,"3608 4th Ave W (at Dunbar St), Vancouver BC V6R 1P1",49.268435,-123.183874
Vancouver Aquarium Cafe,4f345d93e4b04a0243c550f2,Café,98,"845 Avison Way (in Vancouver Aquarium), Vancouver BC V6G 3E2",49.300066,-123.130947
Mister,5751fda3498e4f21436b3b09,"Ice Cream Parlor, Restaurant",64,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",49.275114,-123.121514
Le Crocodile Restaurant,4aaec434f964a520346320e3,French Restaurant,39,"100A90 Burrard St (Smithe St), Vancouver BC V6Z 2N2",49.282578,-123.125234
Tacofino,52f53570498ee24640cf0d17,Taco Restaurant,150,"15 Cordova St W (btwn Abbott & Carrall), Vancouver BC V6B 1C8",49.282729,-123.104884
Sun Sushi,4aa81e63f964a5206e4f20e3,Sushi Restaurant,43,"4512 10th Ave W (at Sasamat St.), Vancouver BC V6R 2J1",49.263728,-123.209574
Raisu,5780683c498e51523ab4851b,"Diner, Japanese Restaurant",75,"2340 4th Ave W, Vancouver BC V6K 1P1",49.268036,-123.158378
The Federal Store,53c4959b498ebad0cc0cdfb4,"Café, Coffee Shop, Deli",107,"2601 Quebec St (E 10th Ave), Vancouver BC V5T 3A6",49.261909,-123.103193
Suika,4c8af50675ba9c746e5b555c,"Sushi Restaurant, Tapas Restaurant",140,"1626W Broadway W (btwn Fir & Pine), Vancouver BC V6J 1X6",49.263522,-123.141773
Breka Downtown Bakery Cafe Inc,5920ecf6f0b490666fbb1586,"Bakery, Café, Dessert Shop",292,"3750 4th Ave W, Vancouver BC V6R 1P3",49.268532,-123.18672
Matchstick Coffee Roasters,5b9032b4345cbe00398a8d6a,"Café, Restaurant",102,"1328 Richards St (btwn Drake & Pacific), Vancouver BC V6B 3G6",49.274404,-123.126239
Choklit Park,4bc0fb7f2a89ef3b6a93f188,Park,140,"2400 Spruce St (Spruce St), Vancouver BC V6H 2P3",49.265365,-123.129117
Miku,4aa7f561f964a520384e20e3,Sushi Restaurant,69,"200 Granville St (West Cordova Street), Vancouver BC V6C 1S4",49.286766,-123.112205
Corduroy Pie Co,54c074fa498e4624306b462e,Pizzeria,218,"758 16th Ave W (Willow), Vancouver BC V5Z 1S7",49.256904,-123.121177
Corduroy Pie Co,54c074fa498e4624306b462e,Pizzeria,474,"758 16th Ave W (Willow), Vancouver BC V5Z 1S7",49.256904,-123.121177
West End Farmers Market,4ab2b6e4f964a520fb6b20e3,"Farmers Market, Grocery Store",92,"1100 Comox St (Thurlow St), Vancouver BC",49.282579,-123.130588
Cardero Bottega,4aa9ac4ff964a520cc5420e3,"Coffee Shop, Deli, Fast Food Restaurant",223,"1016 Cardero St (at Comox St.), Vancouver BC V6G 2H1",49.287092,-123.135598
Beta5 Chocolates,4e8df4ccbe7bc43c1895944d,"Chocolate Store, Grocery Store",296,"413 Industrial Ave (at Station St), Vancouver BC V6A 2P8",49.269893,-123.095842
Third Beach,4aaafb5ef964a5205e5820e3,Beach,113,"7000 Stanley Park Dr (Pacific Ocean), Vancouver BC",49.303515,-123.156232
Kishimoto Japanese Kitchen + Sushi Bar,4dfe52e6b0fb709b61e36ce6,Sushi Restaurant,288,"2054 Commercial Dr (4th Ave. East), Vancouver BC V5N 4A9",49.26661,-123.069522
Caffe Cittadella,4c75baefdb52b1f7c5b979dc,"Coffee Shop, Restaurant",81,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",49.26473,-123.116978
Sushi Osaka,4ab988d5f964a520cb7f20e3,Sushi Restaurant,107,"1361 Burrard St (btwn Pacific & Harwood), Vancouver BC V6Z 1Z7",49.277632,-123.131868
Sushiyama,4aa7e590f964a520ec4d20e3,Sushi Restaurant,110,"371 Broadway E (Brunswick St), Vancouver BC V5T 1W5",49.262968,-123.0972
Gyu-Kaku BBQ,52b17ab1498eeab2c01ede0e,"BBQ Joint, Japanese Restaurant",110,"950 Broadway W (at Laurel St), Vancouver BC V5Z 1K7",49.263202,-123.125769
