Station Name,empty_slots,free_bikes,ebikes,normal_bikes,latitude,longitude,timestamp,Unique ID
Chilco & Barclay,9,9,2,7,49.291909,-123.140713,2024-10-17T23:52:11.082579Z,0092
St George & Broadway,14,0,0,0,49.262321,-123.09306,2024-10-17T23:52:11.118473Z,0248
Britannia Parking Lot,13,1,1,0,49.275882,-123.071865,2024-10-17T23:52:11.117617Z,0232
Morton & Denman,6,19,0,19,49.28803,-123.142135,2024-10-17T23:52:11.058924Z,0031
Thornton & National,10,4,0,4,49.273777,-123.092723,2024-10-17T23:52:11.117687Z,0233
Burrard & 14th,3,11,9,2,49.259469,-123.145718,2024-10-17T23:52:11.115575Z,0210
Olympic Village Station,11,15,0,15,49.266314,-123.116011,2024-10-17T23:52:11.057475Z,0006
8th & Macdonald,18,2,0,2,49.264928,-123.168068,2024-10-17T23:52:11.121767Z,0452
30th & Ontario,19,2,1,1,49.243375,-123.104978,2024-10-17T23:52:11.122741Z,0557
Lakewood & Triumph,15,1,1,0,49.283968,-123.061615,2024-10-17T23:52:11.123192Z,0631
13th & Cambie,13,1,0,1,49.259579,-123.114769,2024-10-17T23:52:11.120674Z,0311
Arbutus & Nanton,9,9,4,5,49.247854,-123.153422,2024-10-17T23:52:11.122026Z,0480
14th & Fraser,16,0,0,0,49.257939,-123.089531,2024-10-17T23:52:11.119981Z,0282
15th & Victoria (Trout Lake),4,13,1,12,49.256857,-123.065646,2024-10-17T23:52:11.119783Z,0278
Robson & Hornby,23,5,1,4,49.282758,-123.122092,2024-10-17T23:52:11.058338Z,0019
Cardero & Robson,17,8,1,7,49.289255,-123.132677,2024-10-17T23:52:11.059679Z,0041
1st & Scotia,14,6,0,6,49.2685027,-123.0975014,2024-10-17T23:52:11.114664Z,0197
10th & Fraser,11,1,1,0,49.26151,-123.089413,2024-10-17T23:52:11.119249Z,0260
Ontario & 5th,2,18,0,18,49.266724,-123.104824,2024-10-17T23:52:11.081681Z,0073
Heather & 16th,11,1,0,1,49.256845,-123.120071,2024-10-17T23:52:11.097653Z,0130
Richards & Smithe,14,3,1,2,49.279259,-123.119145,2024-10-17T23:52:11.079732Z,0058
Robson & Beatty,10,10,3,7,49.277773,-123.114237,2024-10-17T23:52:11.058616Z,0026
Maple Tree Square,2,22,0,22,49.283482,-123.103738,2024-10-17T23:52:11.057999Z,0013
22nd & Main,12,1,0,1,49.25094,-123.101306,2024-10-17T23:52:11.122870Z,0563
Carrall & Seawall,10,7,1,6,49.276294,-123.106534,2024-10-17T23:52:11.116451Z,0218
Charles & Woodland,7,7,0,7,49.2731,-123.0732,2024-10-17T23:52:11.118815Z,0253
1st & Manitoba,14,12,2,10,49.27023,-123.10651,2024-10-17T23:52:11.113420Z,0174
St Catherines & 7th,10,10,1,9,49.264466,-123.085183,2024-10-17T23:52:11.119517Z,0266
Triumph & Victoria,13,5,0,5,49.283986,-123.065264,2024-10-17T23:52:11.119849Z,0280
18th & Main,9,5,4,1,49.254667,-123.101389,2024-10-17T23:52:11.118968Z,0255
St Catherines & 10th,8,3,2,1,49.261353,-123.085333,2024-10-17T23:52:11.119450Z,0265
Nelson & Richards,15,1,0,1,49.277844,-123.120942,2024-10-17T23:52:11.082108Z,0079
Arbutus & 10th,18,0,0,0,49.262835,-123.152626,2024-10-17T23:52:11.081823Z,0075
Comox & Denman,3,14,1,13,49.288444,-123.139203,2024-10-17T23:52:11.059181Z,0032
Prince Edward & 14th,12,1,1,0,49.258352,-123.096337,2024-10-17T23:52:11.119108Z,0257
Alexander & Railway,7,13,4,9,49.283992,-123.091206,2024-10-17T23:52:11.117467Z,0230
Chilco & Beach,0,14,1,13,49.28972,-123.144028,2024-10-17T23:52:11.060053Z,0047
Richards & Cordova,2,13,0,13,49.284554,-123.111031,2024-10-17T23:52:11.097453Z,0124
Agronomy & East Mall,18,0,0,0,49.2617360647494,-123.246483808594,2024-10-17T23:52:11.123816Z,2136
Orchard Commons,19,3,1,2,49.259999,-123.250902,2024-10-17T23:52:11.123559Z,2116
Yew & Broadway,10,6,2,4,49.263523,-123.155267,2024-10-17T23:52:11.122156Z,0484
Woodland & 10th,10,4,1,3,49.261263,-123.073707,2024-10-17T23:52:11.118240Z,0245
Ontario & 16th,9,4,2,2,49.256825,-123.105234,2024-10-17T23:52:11.097792Z,0133
14th & Alder,7,5,1,4,49.258819,-123.131317,2024-10-17T23:52:11.115640Z,0211
Chestnut & McNicoll,11,5,2,3,49.275938,-123.145939,2024-10-17T23:52:11.112425Z,0147
Dunbar & 6th,7,9,0,9,49.266636,-123.183661,2024-10-17T23:52:11.121318Z,0414
Stanley Park - Vancouver Aquarium,14,1,0,1,49.299292,-123.130281,2024-10-17T23:52:11.096194Z,0101
Yaletown-Roundhouse Station,0,15,0,15,49.274566,-123.121817,2024-10-17T23:52:11.057330Z,0004
Smithe & Burrard,6,8,3,5,49.282503,-123.124697,2024-10-17T23:52:11.116053Z,0217
