name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,295.7763124661528
The Farmhouse,WZz3gI0V6hN9M_cpeyo9Jg,"Italian, Wine Bars",4.3,"['352 East 10th Avenue', 'Vancouver, BC V5T 1Z7', 'Canada']",49.26185879464837,-123.09710762514682,N/A,28,False,298.18144136739915
Lunch Lady,9Waotz-_G9woVPWZTmZcwA,Vietnamese,4.1,"['1046 Commercial Drive', 'Vancouver, BC V5L 3W9', 'Canada']",49.27497,-123.06915,$$,261,False,208.56830438281096
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,476.1727635645001
Phnom Penh,yeNenSjz_HCqngGFU5d8NQ,"Cambodian, Vietnamese",4.2,"['244 E Georgia Street', 'Vancouver, BC V6A 1Z7', 'Canada']",49.278431,-123.098205,$$,1775,False,652.660730350863
Fable Kitchen,p5thThuUITUjAy8gS3sPMw,Canadian (New),4.3,"['1944 W 4th Avenue', 'Vancouver, BC V6J 1M5', 'Canada']",49.2679331,-123.149019,$$,791,False,971.1667943828817
Seaport City Seafood Restaurant,F5wxgIiZE7LYQxgqhI483A,"Dim Sum, Seafood, Cantonese",4.2,"['2425 Cambie Street', 'Vancouver, BC V5Z 4M5', 'Canada']",49.263921119674905,-123.115152,$$$,69,False,273.2789898216345
Mr. Red Cafe,EvVCF3mompCg3PPkpqip2A,Vietnamese,3.8,"['2680 W Broadway', 'Vancouver, BC V6K 2G3', 'Canada']",49.2640755304294,-123.165913715756,$$,125,False,182.81405118768274
Autostrada,rNNb7vUPlyk2vBnVsEUWKg,"Italian, Wine Bars",3.8,"['4811 Main Street', 'Vancouver, BC V5V 3R9', 'Canada']",49.24172,-123.10185,$$$,106,False,302.9020108698075
Dundas Eat + Drink,RjaMcWoyG_CFh-M61fahxA,"Vietnamese, Asian Fusion, Beer Bar",4.2,"['2077 Dundas Street', 'Vancouver, BC V5L 1J5', 'Canada']",49.285084,-123.062273,$$,75,False,123.57886752884158
iDen & Quan Ju De Beijing Duck House,Zi8Ywk36Ws_4zjw2gjMMFA,Chinese,3.6,"['2808 Cambie Street', 'Vancouver, BC V5Z 2V5', 'Canada']",49.26021,-123.1148451,N/A,152,False,60.853980634931204
Finest At Sea Seafood Boutique,kIdwy77j0rV5KCZ0y9SEQQ,"Seafood Markets, Seafood, Food Trucks",3.3,"['4675 Arbutus Street', 'Vancouver, BC V6J 4A3', 'Canada']",49.2444796206499,-123.153893832788,$$,40,False,376.7733926590602
Osteria Savio Volpe,gNCSbTm3unsdztncbgSv5A,Italian,4.2,"['615 Kingsway', 'Vancouver, BC V5T 3K5', 'Canada']",49.2574913,-123.0909344,$$$,463,False,113.3631500527942
Pink Peppercorn Seafood House,52o82-XanIGhqQySWbiuPg,Seafood,4.3,"['1485 Kingsway', 'Vancouver, BC V5N 2R6', 'Canada']",49.2493583,-123.0739159,$$$,159,False,1012.741914834904
Hawksworth Restaurant,70D_rxm388HaD2qMTB59xw,Canadian (New),4.1,"['801 W Georgia Street', 'Vancouver, BC V6C 1P7', 'Canada']",49.2833971,-123.1191704,$$$,694,False,223.5158549686978
Guu with Garlic,GmEeIcJ9vR04kxzYgPMEgg,"Japanese, Tapas/Small Plates",4.3,"['1698 Robson Street', 'Vancouver, BC V6G 1C7', 'Canada']",49.290249,-123.1338142,$$,1081,False,140.44072077566344
Zarak By Afghan Kitchen,piwi7Au_17aUKuC2S97Nkg,"Afghan, Cocktail Bars, Breakfast & Brunch",4.5,"['2102 Main Street', 'Vancouver, BC V5T 0K1', 'Canada']",49.266224,-123.1006089,N/A,120,False,333.5533874065862
Fassil Ethiopian Restaurant,9KgB4mKZnW7GRU3zjPcxvw,Ethiopian,4.3,"['736 Broadway E', 'Vancouver, BC V5T 1X9', 'Canada']",49.262316686122,-123.08833077466,$$,154,False,119.21978074253657
Zarak By Afghan Kitchen,piwi7Au_17aUKuC2S97Nkg,"Afghan, Cocktail Bars, Breakfast & Brunch",4.5,"['2102 Main Street', 'Vancouver, BC V5T 0K1', 'Canada']",49.266224,-123.1006089,N/A,120,False,310.903942529523
Hachibei Japanese Restaurant,E1ygd4cHPPlD0TYKg7Berw,Japanese,3.9,"['778 16th Avenue W', 'Vancouver, BC V5Z 1S7', 'Canada']",49.256899,-123.1215336,$$,80,False,108.98301596590545
Tutto,vdQbDQHPq_nA30ngxEgMJg,"Italian, Bars",4.3,"['901 Homer St', 'Vancouver, BC V6B 2W6', 'Canada']",49.2784091,-123.1187139,$$$,67,False,89.95350947442351
Fanny Bay Oyster Bar & Shellfish Market,Ufhxnrt_OJu4jHfVTP3aRQ,"Seafood, Seafood Markets",4.4,"['762 Cambie St', 'Vancouver, BC V6B 2P2', 'Canada']",49.2787525,-123.1138689,$$$,891,False,93.32238994432636
L'Abattoir,7Tne8P5zyMpJKfpjQg2P-g,"French, Canadian (New), Breakfast & Brunch",4.2,"['217 Carrall Street', 'Vancouver, BC V6B 2J1', 'Canada']",49.2831869855333,-123.104450140894,$$$,602,False,61.190864689574795
Published On Main,5-adl2zPRMgammVOoz5WEg,"Tapas/Small Plates, Wine Bars, Cocktail Bars",4.3,"['3593 Main Street', 'Vancouver, BC V5V 3N4', 'Canada']",49.25283186017385,-123.10116032897228,N/A,152,False,210.6305485841602
Chambar,_4R46MNkwx9MeOyt0YfNxA,Belgian,4.2,"['568 Beatty Street', 'Vancouver, BC V6B 2L3', 'Canada']",49.2801460007961,-123.109925328073,$$,1601,False,493.94623167665424
Harbour Oyster + Bar,ulsLlVcGvuLOSN0n3bR2zg,"Cocktail Bars, Seafood, Fish & Chips",4.2,"['1408 Commercial Drive', 'Vancouver, BC V5L 3X9', 'Canada']",49.2718946138822,-123.069181591272,$$,84,False,320.8717787314843
CRAFT Beer Market,P8ivaSJ-_FmC01Z_2Npuig,"Beer Bar, Burgers, Canadian (New)",3.4,"['85 W 1st Avenue', 'Salt Building', 'Vancouver, BC V5Y 3K8', 'Canada']",49.2702147,-123.1060713,$$,536,False,31.874767343898476
Fassil Ethiopian Restaurant,9KgB4mKZnW7GRU3zjPcxvw,Ethiopian,4.3,"['736 Broadway E', 'Vancouver, BC V5T 1X9', 'Canada']",49.262316686122,-123.08833077466,$$,154,False,330.5913094965101
Straight and Marrow,gfj2Nyut-fEjWOMQBjQ7xg,Gastropubs,4.4,"['1869 Powell Street', 'Vancouver, BC V5L 1H8', 'Canada']",49.2848302,-123.0661495,N/A,37,False,114.34071933350647
Anh and Chi,l184Y1d3oAa5_Al4YIaRjQ,"Vietnamese, Cocktail Bars",3.9,"['3388 Main Street', 'Vancouver, BC V5V 3M7', 'Canada']",49.2550314422938,-123.100882202153,$$$,717,False,54.72735884510411
Fassil Ethiopian Restaurant,9KgB4mKZnW7GRU3zjPcxvw,Ethiopian,4.3,"['736 Broadway E', 'Vancouver, BC V5T 1X9', 'Canada']",49.262316686122,-123.08833077466,$$,154,False,242.49711997809135
Blue Water Cafe,gt1BSfVFvzI-qHdJ3LUZug,Seafood,4.4,"['1095 Hamilton St', 'Vancouver, BC V6B 5T4', 'Canada']",49.2761945,-123.1209935,$$$$,1135,False,181.15626165812913
Temaki Sushi,OULhS4WGI_mh5gRGLZBySg,"Sushi Bars, Japanese",4.2,"['2156 W Broadway', 'Suite 2', 'Vancouver, BC V6K 2C8', 'Canada']",49.263919,-123.154395,$$,170,False,176.0863514941588
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,299.1753609603427
Osteria Savio Volpe,gNCSbTm3unsdztncbgSv5A,Italian,4.2,"['615 Kingsway', 'Vancouver, BC V5T 3K5', 'Canada']",49.2574913,-123.0909344,$$$,463,False,403.5884249214657
The Mackenzie Room,rpJpZOvTPbVmBh2goK1iOA,Canadian (New),4.5,"['415 Powell Street', 'Vancouver, BC V6A 1G7', 'Canada']",49.2832349,-123.0948578,$$$$,205,False,280.4515473771323
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,518.5904286125102
Miku,4EV_ZcQmjAmP3pmO-_nb2A,"Japanese, Sushi Bars",4.4,"['200 Granville Street', 'Suite 70', 'Vancouver, BC V6C 1S4', 'Canada']",49.28691298612272,-123.11304877258942,$$$,2379,False,300.3723702828249
Starbucks,XUpvRzbGN9XoLiw44M7qzQ,Coffee & Tea,3.7,"['6190 Agronomy Rd', 'UBC', 'Vancouver, BC V6T 1L9', 'Canada']",49.261327,-123.2465728,$$,17,False,74.50627977358224
Bean Around The World UBC,2RDeCj6-S0k9mFifvoA8Zg,Coffee & Tea,3.9,"['6308 Thunderbird Blvd', 'Vancouver, BC V6T 1Z4', 'Canada']",49.2590546,-123.2485356,$$,28,False,225.90786586382578
Temaki Sushi,OULhS4WGI_mh5gRGLZBySg,"Sushi Bars, Japanese",4.2,"['2156 W Broadway', 'Suite 2', 'Vancouver, BC V6K 2C8', 'Canada']",49.263919,-123.154395,$$,170,False,77.08871609840271
The Burrow,UbwADEKly9ZiNzviUJbc0w,"Mexican, Vegetarian, Breakfast & Brunch",3.9,"['2781 Commercial Drive', 'Vancouver, BC V5N 4C5', 'Canada']",49.2597591,-123.0700099,$$,516,False,313.0194909955024
Anh and Chi,l184Y1d3oAa5_Al4YIaRjQ,"Vietnamese, Cocktail Bars",3.9,"['3388 Main Street', 'Vancouver, BC V5V 3M7', 'Canada']",49.2550314422938,-123.100882202153,$$$,717,False,373.5279159297356
Joon's Kitchen,4sJgeCWPtd9Hx1OcXXmX_w,"Korean, Japanese",4.0,"['3093 Oak Street', 'Vancouver, BC V6H 2K8', 'Canada']",49.25814006151812,-123.1271603431787,N/A,71,False,310.95634415184685
Fable Kitchen,p5thThuUITUjAy8gS3sPMw,Canadian (New),4.3,"['1944 W 4th Avenue', 'Vancouver, BC V6J 1M5', 'Canada']",49.2679331,-123.149019,$$,791,False,917.7239472243831
La Quercia,Mfdo3zuB2P0xFQ40DLPaEQ,"Italian, Wine Bars",4.1,"['3689 W 4th Avenue', 'Vancouver, BC V6R 1P2', 'Canada']",49.2687649,-123.1853601,$$$,213,False,268.15960950347124
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,1070.2524951976866
The Flying Pig,NdEPf2Ls5Ql3_nkwjqKvXA,"Canadian (New), Seafood",4.0,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",49.27501,-123.122,$$,1369,False,54.99091675773941
Le Crocodile Restaurant,GSg5v3ZJxmMPrlAXqat8tA,French,4.3,"['909 Burrard Street', 'Suite 100', 'Vancouver, BC V6Z 2N2', 'Canada']",49.2825393,-123.1252052,$$$$,465,False,37.08295434389578
PiDGiN,H4h_nwZW7f2Yj9ONdzGxHQ,"Japanese, Korean, French",4.0,"['350 Carrall Street', 'Vancouver, BC V6B 2J3', 'Canada']",49.2819071402452,-123.104188653967,$$$,343,False,221.8931551092717
